単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
view,"名

動","①ながめ、景色　②意見、考え、見方

～をながめる、～を見る","①a nice view from the window  ②from my personal point of view
They viewed her carefully.",,●
village,名,村,a small village,,
violin,名,バイオリン,He plays the violin.,,
visit,"名
動","見物、観光、訪問
～を訪ねる、～を訪れる、～に行く","This is my first visit here.
visit the village",,●
visitor,名,訪問者、観光客,visitors from all over the world,,
voice,名,声,I heard a woman's voice.,,
volleyball,名,バレーボール,I play volleyball.,,
volunteer,名,ボランティア,work as a volunteer,,
,,,,,
【w】,,,,,
wait,"動
","待つ
　wait for ～　～を待つ","Let's wait here.
",,●
wake,"動

","①起きる、目が覚める　②～を起こす　《活用》woke-woken
　wake up  目が覚める","①I wake up at 6 a.m.  ②Don't wake the baby.

",,●
walk,"名
動
","歩くこと、散歩
①歩く、散歩する　②～を散歩させる
　walk around  歩き回る","take a walk
①walk along the street  ②She walks her dog every morning.",,●
wall,名,壁、へい,a picture on the wall,,
want,"動

","～が欲しい、～を望む
　want to ～　～したい(と思う)
　want A to ～　Aに～してほしい(と思う)","I want to study abroad.

",,●
war,名,戦争、戦い,stop the war,,
warm,"動
形","～をあたためる、～をあたたかくする
あたたかい、温暖な","Running warms me up.
warm weather",,●
was,動,"～だった、あった、いた(is, amの過去形) ",It was my mistake.,●,
wash,動,～を洗う、～を洗濯する,wash hands,,
waste,"名
動","①ごみ、廃棄物　②浪費、むだ使い
～をむだに使う、(～を)浪費する","①wastes from that factory  ②waste of time
Don't waste electricity.",,●
watch,"名
動","腕時計、時計
①～を(注意してじっと)見る　②～に注意する","Where is my watch?
①watch a movie  ②Watch your step.",,●
water,"名
動","水
～に水をやる〔まく〕","a glass of water
Don't forget to water the flowers. ",,●
wave,"名
動","波
(手など)を振る","a big wave
wave hands",,
way,"名





","①道　②方法、やり方　③点〔観点〕
　way to ～  ～する方法
　on the way (back)　(帰る)途中で　
　on one's way (to～)　(～へ行く)途中で
　this way　このように
　by the way　ところで","①the way to the station　②the best way　③in many ways



",,●
we,代,私たちは〔が〕,We are high school students.,,
weak,形,弱い、薄い,weak coffee,,
wear,動,～を身に付けている、～を着ている、～をはいている、～をかぶっている 《活用》wore-worn,She wears glasses.,,
weather,名,天気、天候,fine weather,,
website,名,ウェブサイト,information on a website,●,
Wednesday,名,水曜日,on Wednesday,,
week,名,週、１週間,for two weeks,,
weekend,名,週末,on weekends,,
welcome,"動
形
間
","～を歓迎する、～を迎える
歓迎される
ようこそ、いらっしゃい
　You are welcome.  どういたしまして。","We welcomed ten students from Australia.
You are welcome.
Welcome!  We were waiting for you.
",,●
well,"形
副
間","健康な、元気な、よい 《活用》better-best
①上手に、うまく　②よく、十分に 《活用》better-best　　
ええっと、さて、ところで","I don't feel well.
①He plays the piano very well.  ②I know him well.
Well, where are we now?",,●
were,動,①～だった、あった、いた(areの過去形)　②(仮定法で)be動詞の過去形,①There were many people in the park.  ②I wish I were a bird.,,
west,"名
形","西、西部、西方
西の","in the west of Japan
in the west part of the country",,●
western,形,西の、西にある、西部地方の,on the western side,,
wet,形,ぬれた、湿った,I got wet in the rain.,●,
what,"形
疑代



","①(感嘆文で)なんと　②(疑問文で)何の、どんな
何、どんなもの　　
　What about ～?　～はどうですか。
　What's wrong?  どうかしたのですか。何か調子が悪いのですか。 
　what to ～　何を～すべきか","①What a big cat!  ②What day is it today?  
What did you say?  



",,●
wheelchair,名,車いす,a person in a wheelchair,●,
when,"接
疑副","～するときに、～すると
いつ","Be careful when you cross the road.
When is your birthday?",,
where,疑副,どこに〔へ・で〕,Where are you from?,,
which,"疑形
疑代
関代
","どちらの、どの
どちら、どれ
①(主格)～する〔である〕(もの)　②(目的格)～が...する(もの)","Which color do you like better, black or white?
Which is your book?  
①This is a machine which can print pictures easily.  ②I like the computer which I bought yesterday.",,●
while,"名
接
","時間、しばらくの間
～する間に
　after a while　しばらくして","She came back after a while.
He came while I was out.
",●,
white,"名
形","白、白色、白人
白い、白色の、白人の","My favorite color is white.
a white T-shirt",,●
who,"疑代
関代","だれ
(主格)～する〔である〕(人)","Who is he?  
Do you know the man who lives across the road?",,
whose,疑代,だれの、だれのもの,Whose bag is this?,,
why,"疑副
","なぜ、どうして
　Why don't we ～?　(いっしょに)～しませんか。","Why were you here yesterday?
",,●
wide,形,(幅が)広い,a wide road,,
wife,名,妻,his wife,,
will,"名
助
","意思
①～だろう　②～するつもりだ、～しようと思う　③(Will you ～?で)～してくれませんか。","She showed her will.
①It will be sunny tomorrow.　②I will show you an example.　③Will you tell me the way to the station?",,●
win,"動
",①(～に)勝つ　②～を勝ち取る、～を受賞する  《活用》won-won,"①win a game　②win the first prize
",,●
wind,"名
","風
　wind power　風力","a strong wind
",,●
window,名,窓,open the window,,
windy,形,風の強い、風のある,a windy day,,
wing,名,翼、羽,a bird with big wings,●,
winner,名,勝った人、勝者、受賞者,the winner of the first prize,●,
winter,名,冬,in winter,,
wipe,動,(～を)ふく、(～を)ぬぐう,wipe a table with a cloth,●,
wisdom,名,知恵、英知、賢明(さ),a man of great wisdom,●,
wish,"名
動


","①願い、望み　②祝福の言葉
①(～を)願う、～したいと思う　②(仮定法で)～であればいいのに
　Best wishes for ～.　～の幸せを祈ります。　
　Best wishes.　それでは。(手紙の結びの言葉)","①make a wish　②With best wishes.
①I wish to go to America.　②I wish you were here.  

",,●
with,前,①～と一緒に　②～で、～を使って　③～のある、～の付いた、～を所持して　④～があれば,①come with us  ②with your finger  ③a boy with a camera  ④We can finish this earlier with your help.,,●
within,前,～以内に〔で〕,within a few days,●,
without,前,～なしで、～を持たないで,without any money / without sleeping,,
woman,名,女の人、女性  《複数》women(発音注意),She is the woman who wrote the story.,,
wonder,"名
動","驚き、不思議
～かしらと思う、～かなと思う、～と不思議に思う","She looked at it in wonder.
I wonder what time it is.",●,
wonderful,形,すばらしい、すてきな、見事な,have a wonderful time,,
wood,名,①木、林　②木材,①I saw the animal in the woods.　②a piece of wood,,
word,名,単語、語、ことば,the meaning of the word,,
work,"名
動

","①仕事、作業、労働、勉強　②作品
①働く、取り組む　②機能する、(うまく)いく
　work on ～　～に取り組む、従事する
　work out  運動をする、体を鍛える","①hard work  ②works of art
①work for a bank　②That plan worked well.

",,●
worker,名,労働者、作業員、仕事〔勉強〕をする人,He is a hard worker.,●,
world,"名

","世界
　all over the world　世界中に〔で〕
　around the world　世界中に〔で〕","in the world

",,●
World Heritage Site,名,世界遺産,visit one of the World Heritage Sites,●,
worried,形,心配な、不安で,I'm worried about it.,●,
worry,"名
動","心配(事)、気苦労
心配する、悩む","full of worries
Don't worry.",,●
would,"助






","(willの過去形)
①～(するの)はいかがですか　②～していただけませんか　③(仮定法で)(もし...なら)～だろうに
　would like ～　～がほしい(のですが)
　would like to ～　～したい(のですが)
　would like A to ～  Aに～してほしい(のですが)
  Would you like ～?　～はいかがですか。","
①Would you like to have some coffee?  ②Would you stay here?  ③If you had 10,000 dollars, what would you do?



",,●
wow,間,うわぁ、わぁ(驚き、喜びなどを表す),"Wow, that's nice.",,
wrap,動,～を包む、～をくるむ、～を包装する,wrap the book with beautiful paper,●,
write,"動
","①～を書く　②手紙を書く　《活用》wrote-written
　write A back　Aに返事を書く","①write a letter　②I wrote to her yesterday. 
",,●
writer,名,作家、筆者,a popular writer,,
wrong,形,①間違った、誤った　②具合の悪い,①You have the wrong number.  ②What's wrong with you?,,
,,,,,
【y】,,,,,
yeah,間,うん、そう、あぁ,"""Are you cold?"" ""Yeah.""",●,
year,"名
","①年　②年度、学年　③～歳
　～ year(s) old　～歳、創立～年",①three years ago　②the third year students  ③That temple is 120 years old.,,●
yellow,"名
形","黄色
黄色の、黄色い","My favorite color is yellow.
buy a yellow T-shirt",,●
yen,名,円(日本の貨幣単位),one hundred yen,●,
yes,副,はい、そうです,"Yes, he is.",,
yesterday,"名
副","昨日
昨日(は)","the day before yesterday
went to see a movie yesterday",,●
yet,"副

接","①(疑問文で)もう　②(否定文で)まだ

けれども、それにもかかわらず","①Have you finished your homework yet?　②I haven't finished the job yet.
He was angry, yet he listened to me carefully.",,●
yogurt,名,ヨーグルト,I like yogurt.,●,
you,代,①あなた(たち)は、あなた(たち)を(に)　②(一般の)人は、だれでも,①you and I　②You can see beautiful stars from here.,,●
young,形,若い、幼い,young people,,
your,代,あなた(たち)の,Wash your hands.,,
yours,代,あなた(たち)のもの,It's yours.,,
yourself,代,あなた(たち)自身(で)　 《複数》yourselves,Enjoy yourself. / Did you make it by yourself?,,●
,,,,,
【z】,,,,,
zero,"名
形","０、ゼロ
０の、ゼロの","Zero is an interesting number.
zero degrees",,●
zoo,名,動物園,went to the zoo on Sunday,,
